Titulo,Descripcion
Orgullo y prejuicio,Ocurre en Inglaterra a finales del siglo XVII donde cinco hermanas son criadas por su madre con el objetivo de que sus hijas encuentren el marido perfecto. Elizabeth (Lizzy) una de las chicas no aspiran a esto y piensa de manera muy diferente a la de su madre. Pero cuando el señor Darcy entra en su vida las cosas resultan diferentes. Las emociones los sentimientos y las sorpresas que nacen flechan el corazon de Lizzy a pesar de su orgullo. Aquellos que no hayan visto esta pelicula ¡les va a encantar! Te puede interesar leer sobre las normas de amor para una matrimonio feliz.
Diario de una pasion, Desde el principio de la pelicula te sentiras involucrado en la historia. Se inicia con un anciano (Noah) que lee algunas notas en un libro dedicado a Allie su amor eterno. Poco a poco le dice como se conocieron la tragedia de su separacion y su lucha por permanecer juntos contra viento y marea.  El amor es mas fuerte que cualquier otra cosa. Te puede interesar conocer las experiencias que si o si deberias tener con tu pareja antes de tener hijos.
Posdata Te amo, Holly y Gerry se conocen desde la universidad y siempre han sabido que sus almas eran gemelas. Ambos se complementan a la perfeccion pero algo inimaginable sucede: el protagonista muere. Pero deja a Holly una lista de cosas que hacer y le recuerda que el siempre estara con ella. A pesar del hecho de que la vida esta llena de giros -inesperados- siempre hay que seguir adelante. Te recomendamos leer sobre los consejos del Papa Francisco para un matrimonio feliz.
Bajo la misma estrella, Esta pelicula fue una de las mas aclamadas por el publico ya que esta impregnada de una emocion rara. Un simple “O.K.” que se convierte en un “de por vida” ¡es la magia de esta historia! Hazel Grace sufre de cancer de pulmon desde que tenia 16 años pero un dia se encuentra con el amor de su vida: Augustus Waters. Los dos se conocieron en un grupo de apoyo para los jovenes con cancer. Augustus dio un nuevo sentido a su vida.
Moulin Rouge,  Un clasico que no debes perderte. Un romance entre Christian artista bohemio y Satine una gran bailarina del Moulin Rouge. -Paris- Un lugar mitico mucho drama sueños musica en vivo y un ambiente real: estos son los ingredientes de esta magnifica pelicula. Te puede interesar leer sobre los tips para tener exito en la convivencia con tu pareja.
Sex & The City I, Esta es sin duda la pelicula mas glamourosa de nuestra lista. Carrie llego a Nueva York para cumplir el sueño de su vida: convertirse en una periodista de moda. Lleva una relacion de varios años con Mr. Big. Ambos deciden dar el paso y casarse pero la duda y la incertidumbre ganan a Mr. Big… Afortunadamente ¡todo lo que empieza bien acaba bien ! Te puede interesar leer sobre los pueblos mas lindos de Colombia para visitar en pareja.
Una cuestion de tiempo,Esta es la historia de Tim Lake un joven que tiene el poder de viajar en el tiempo a donde quiera. Para hacer que sus deseos se hagan realidad simplemente tiene que ir a un lugar oscuro. Asi conoce a Maria. Pero en un minuto todo desaparece. el tendra que ajustar su pasado para un futuro de paz al lado de la mujer que ama.
Titanic,  Otro clasico que hemos visto ¡por lo menos 10 veces! Esta es la pelicula que uno nunca se cansa de ver. Jack y Rose con solo cruzar sus miradas dentro del enorme barco saben que sienten el mismo sincero apasionado y romantico amor. Una pelicula iconica en el mundo del amor donde las diferencias sociales no importan cuando este sentimiento es autentico.
Un reino bajo la luna, Sucede en los años sesenta dos amigos que se conocen en la juventud y que planean huir juntos. Ambos tenian la misma vision del amor. Relaciones antiguas resurgen secretos y resentimientos entre los personajes de las dos familias aparecen. Presenciaremos un romance verdaderamente unico.
Yo antes de ti, Una profunda divertida y dramatica historia de amor entre una ingenua y dicharachera jove Luoisa que en su busqueda de empleo llega a la casa de un apuesto y adinerado joven Will quien tras sufrir un aparatoso accidente termina tetraplejico. Debido a esto cae en una profunda depresion y Louisa sera la encargada de cuidarlo y atenderlo tratando de mostrarle el lado positivo de la vida. Su determinacion ingenuidad e incluso torpeza permite que surjan chispazos de amor entre los dos.
Dulce noviembre, Es una historia de amor entre dos mundos dos mundos que se encuentran. el empresario exitoso de la publicidad mientras que ella una chica que ve la vida de otra manera. Estas dos personas se encuentran en el examen para obtener la licencia de conduccion. el decide copiarlo pero el maestro pensando que era ella la suspende. La mujer quiere saber donde vive y decide ofrecerle pasar un mes juntos.
Querido John, John Tyree un soldado de las Fuerzas Especiales va a visitar a su padre durante su periodo de licencia. Savannah Curtis es un estudiante en la universidad. Ambos asisten a una fiesta en la playa y la atraccion es tal que deciden vivir dos semanas completas de amor pasion y sentimientos. Despues de estas dos semanas John tiene que volver a las Fuerzas Especiales y Savannah a la Universidad. Prometen escribirse y continuar su historia de amor a distancia.
Un amor para recordar, Esta es la historia del chico malo que se enamora de una buena chica tan perfecta como que esconde un oscuro secreto. Un clasico que uno no se cansa de ver y que siempre despierta mucha emocion.
